"id","restaurant_id","facility"
"1","1","Wifi"
"2","1","Area merokok"
"3","1","Area outdoor"
"4","1","100% Halal"
"5","1","Ruang VIP"
"6","1","Bisa reservasi"
"7","1","Area parkir"
"8","2","Wifi"
"9","2","Area merokok"
"10","2","Area outdoor"
"11","2","100% Halal"
"12","2","Ruang VIP"
"13","2","Bisa reservasi"
"14","2","Area parkir"
"15","3","Wifi"
"16","3","Area merokok"
"17","3","Area outdoor"
"18","3","100% Halal"
"19","3","Ruang VIP"
"20","3","Bisa reservasi"
"21","3","Area parkir"
"22","4","Area parkir"
"23","6","Area merokok"
"24","6","100% Halal"
"25","6","Bisa reservasi"
"26","6","Area parkir"
"27","7","Wifi"
"28","7","Area merokok"
"29","7","Area outdoor"
"30","7","100% Halal"
"31","7","Ruang VIP"
"32","7","Bisa reservasi"
"33","7","Area parkir"
"34","8","Wifi"
"35","8","Area merokok"
"36","8","100% Halal"
"37","8","Ruang VIP"
"38","8","Bisa reservasi"
"39","8","Area parkir"
"40","9","Wifi"
"41","9","Area merokok"
"42","9","Area outdoor"
"43","9","100% Halal"
"44","9","Bisa reservasi"
"45","9","Area parkir"
"46","10","Wifi"
"47","10","Area merokok"
"48","10","Area outdoor"
"49","10","Bisa reservasi"
"50","10","Area parkir"
"51","10","Alkohol"
"52","11","Wifi"
"53","11","100% Halal"
"54","11","Ruang VIP"
"55","11","Bisa reservasi"
"56","11","Area parkir"
"57","11","Alkohol"
"58","12","Wifi"
"59","12","Area outdoor"
"60","12","Bisa reservasi"
"61","12","Area parkir"
"62","13","Wifi"
"63","13","100% Halal"
"64","13","Bisa reservasi"
"65","13","Area parkir"
"66","13","Alkohol"
"67","14","Wifi"
"68","14","100% Halal"
"69","14","Area parkir"
"70","15","Pesan antar"
"71","15","Area merokok"
"72","15","Area outdoor"
"73","15","100% Halal"
"74","15","Bisa reservasi"
"75","15","Area parkir"
"76","16","Wifi"
"77","16","Area merokok"
"78","16","Area outdoor"
"79","16","100% Halal"
"80","16","Area parkir"
"81","17","Wifi"
"82","17","Area merokok"
"83","17","Area outdoor"
"84","17","100% Halal"
"85","17","Ruang VIP"
"86","17","Bisa reservasi"
"87","17","Area parkir"
"88","18","Wifi"
"89","18","Pesan antar"
"90","18","Bisa reservasi"
"91","18","Area parkir"
"92","18","Alkohol"
"93","19","Area merokok"
"94","19","Area outdoor"
"95","19","100% Halal"
"96","19","Bisa reservasi"
"97","19","Area parkir"
"98","20","Wifi"
"99","20","Pesan antar"
"100","20","Area merokok"
"101","20","Area outdoor"
"102","20","100% Halal"
"103","20","Bisa reservasi"
"104","20","Area parkir"
"105","21","Wifi"
"106","21","Area merokok"
"107","21","Area outdoor"
"108","21","100% Halal"
"109","21","Bisa reservasi"
"110","21","Area parkir"
"111","21","Alkohol"
"112","22","Wifi"
"113","22","Area merokok"
"114","22","Area outdoor"
"115","22","100% Halal"
"116","22","Area parkir"
"117","23","Area merokok"
"118","23","100% Halal"
"119","23","Bisa reservasi"
"120","23","Area parkir"
"121","23","Alkohol"
"122","24","Wifi"
"123","24","Area merokok"
"124","24","Area outdoor"
"125","24","100% Halal"
"126","24","Ruang VIP"
"127","24","Bisa reservasi"
"128","24","Area parkir"
"129","25","100% Halal"
"130","25","Bisa reservasi"
"131","25","Area parkir"
"132","26","Wifi"
"133","26","Area merokok"
"134","26","Area outdoor"
"135","26","100% Halal"
"136","26","Ruang VIP"
"137","26","Bisa reservasi"
"138","26","Area parkir"
"139","27","Wifi"
"140","27","Area merokok"
"141","27","Area outdoor"
"142","27","100% Halal"
"143","27","Bisa reservasi"
"144","27","Area parkir"
"145","28","Wifi"
"146","28","Area merokok"
"147","28","Bisa reservasi"
"148","28","Area parkir"
"149","28","Alkohol"
"150","29","Wifi"
"151","29","Area merokok"
"152","29","Area outdoor"
"153","29","100% Halal"
"154","29","Ruang VIP"
"155","29","Bisa reservasi"
"156","29","Area parkir"
"157","29","Alkohol"
"158","30","Wifi"
"159","30","Area merokok"
"160","30","Area outdoor"
"161","30","Area parkir"
"162","31","Wifi"
"163","31","Ruang VIP"
"164","31","Bisa reservasi"
"165","31","Area parkir"
"166","31","Alkohol"
"167","32","Wifi"
"168","32","Area merokok"
"169","32","Area outdoor"
"170","32","Bisa reservasi"
"171","32","Area parkir"
"172","33","Wifi"
"173","33","Area merokok"
"174","33","Area outdoor"
"175","33","100% Halal"
"176","33","Bisa reservasi"
"177","33","Area parkir"
"178","34","Wifi"
"179","34","100% Halal"
"180","34","Area parkir"
"181","35","Wifi"
"182","35","100% Halal"
"183","35","Area parkir"
"184","36","Wifi"
"185","36","Area merokok"
"186","36","100% Halal"
"187","36","Area parkir"
"188","37","Area merokok"
"189","37","100% Halal"
"190","37","Bisa reservasi"
"191","37","Area parkir"
"192","38","Wifi"
"193","38","Area merokok"
"194","38","Area outdoor"
"195","38","100% Halal"
"196","38","Bisa reservasi"
"197","38","Area parkir"
"198","39","100% Halal"
"199","39","Bisa reservasi"
"200","39","Area parkir"
"201","40","Area merokok"
"202","40","Area parkir"
"203","41","100% Halal"
"204","41","Area parkir"
"205","42","Wifi"
"206","42","Area merokok"
"207","42","Area outdoor"
"208","42","100% Halal"
"209","42","Ruang VIP"
"210","42","Bisa reservasi"
"211","42","Area parkir"
"212","43","Wifi"
"213","43","Area merokok"
"214","43","Area outdoor"
"215","43","100% Halal"
"216","43","Area parkir"
"217","44","100% Halal"
"218","44","Area parkir"
"219","45","Wifi"
"220","45","Area merokok"
"221","45","Area outdoor"
"222","45","100% Halal"
"223","45","Bisa reservasi"
"224","45","Area parkir"
"225","46","Wifi"
"226","46","Area merokok"
"227","46","Area outdoor"
"228","46","100% Halal"
"229","46","Bisa reservasi"
"230","46","Area parkir"
"231","46","Alkohol"
"232","47","100% Halal"
"233","47","Area parkir"
"234","48","Area merokok"
"235","48","100% Halal"
"236","48","Area parkir"
"237","49","Wifi"
"238","49","Area merokok"
"239","49","100% Halal"
"240","49","Bisa reservasi"
"241","49","Area parkir"
"242","50","Area merokok"
"243","50","Area outdoor"
"244","50","100% Halal"
"245","50","Area parkir"
"246","51","Wifi"
"247","51","Area merokok"
"248","51","Area outdoor"
"249","51","100% Halal"
"250","51","Bisa reservasi"
"251","51","Area parkir"
"252","52","Pesan antar"
"253","52","100% Halal"
"254","52","Area parkir"
"255","53","100% Halal"
"256","53","Area parkir"
"257","54","Area parkir"
"258","55","100% Halal"
"259","56","Wifi"
"260","56","Area merokok"
"261","56","Area outdoor"
"262","56","100% Halal"
"263","56","Area parkir"
"264","57","100% Halal"
"265","57","Area parkir"
"266","58","Wifi"
"267","58","Area merokok"
"268","58","Area outdoor"
"269","58","100% Halal"
"270","58","Area parkir"
"271","59","Area merokok"
"272","59","Area outdoor"
"273","59","100% Halal"
"274","59","Area parkir"
"275","60","Wifi"
"276","60","Ruang VIP"
"277","60","Bisa reservasi"
"278","60","Area parkir"
"279","60","Alkohol"
"280","61","Area merokok"
"281","61","100% Halal"
"282","61","Bisa reservasi"
"283","61","Area parkir"
"284","62","Bisa reservasi"
"285","62","Area parkir"
"286","63","100% Halal"
"287","63","Area parkir"
"288","63","Alkohol"
"289","64","Wifi"
"290","64","Area merokok"
"291","64","Ruang VIP"
"292","64","Bisa reservasi"
"293","64","Area parkir"
"294","64","Alkohol"
"295","65","Area merokok"
"296","65","Area parkir"
"297","66","Wifi"
"298","66","Pesan antar"
"299","66","100% Halal"
"300","66","Ruang VIP"
"301","66","Bisa reservasi"
"302","66","Area parkir"
"303","67","Wifi"
"304","67","Bisa reservasi"
"305","67","Area parkir"
"306","68","Wifi"
"307","68","Area merokok"
"308","68","Area outdoor"
"309","68","100% Halal"
"310","68","Bisa reservasi"
"311","68","Area parkir"
"312","69","100% Halal"
"313","69","Ruang VIP"
"314","69","Bisa reservasi"
"315","69","Area parkir"
"316","70","Area merokok"
"317","70","24 Jam"
"318","70","Ruang VIP"
"319","70","Bisa reservasi"
"320","70","Area parkir"
"321","70","Alkohol"
"322","71","Wifi"
"323","71","Area merokok"
"324","71","Area outdoor"
"325","71","100% Halal"
"326","71","Bisa reservasi"
"327","71","Area parkir"
"328","72","Wifi"
"329","72","Area merokok"
"330","72","100% Halal"
"331","72","Area parkir"
"332","73","Wifi"
"333","73","Area merokok"
"334","73","Area outdoor"
"335","73","100% Halal"
"336","73","Ruang VIP"
"337","73","Bisa reservasi"
"338","73","Area parkir"
"339","73","Alkohol"
"340","74","100% Halal"
"341","74","Area parkir"
"342","75","100% Halal"
"343","75","Area parkir"
"344","76","Wifi"
"345","76","Area merokok"
"346","76","Area outdoor"
"347","76","100% Halal"
"348","76","Ruang VIP"
"349","76","Bisa reservasi"
"350","76","Area parkir"
"351","77","Area parkir"
"352","78","Wifi"
"353","78","Area merokok"
"354","78","Area outdoor"
"355","78","Bisa reservasi"
"356","78","Area parkir"
"357","79","100% Halal"
"358","79","Area parkir"
"359","80","100% Halal"
"360","80","Area parkir"
"361","81","Wifi"
"362","81","Area merokok"
"363","81","Area outdoor"
"364","81","100% Halal"
"365","81","Bisa reservasi"
"366","81","Area parkir"
"367","82","Wifi"
"368","82","Bisa reservasi"
"369","82","Area parkir"
"370","82","Alkohol"
"371","83","Ruang VIP"
"372","83","Bisa reservasi"
"373","83","Area parkir"
"374","83","Alkohol"
"375","84","100% Halal"
"376","84","Bisa reservasi"
"377","84","Area parkir"
"378","85","Wifi"
"379","85","Area merokok"
"380","85","Area outdoor"
"381","85","Bisa reservasi"
"382","85","Area parkir"
"383","86","100% Halal"
"384","86","Bisa reservasi"
"385","86","Area parkir"
"386","87","Area merokok"
"387","87","100% Halal"
"388","87","Area parkir"
"389","88","Wifi"
"390","88","100% Halal"
"391","88","Area parkir"
"392","89","Area merokok"
"393","89","100% Halal"
"394","89","Area parkir"
"395","90","100% Halal"
"396","90","Area parkir"
"397","91","Wifi"
"398","91","100% Halal"
"399","91","Ruang VIP"
"400","91","Bisa reservasi"
"401","91","Area parkir"
"402","91","Alkohol"
"403","92","Wifi"
"404","92","100% Halal"
"405","92","Area parkir"
"406","93","Wifi"
"407","93","100% Halal"
"408","93","Bisa reservasi"
"409","93","Area parkir"
"410","93","Alkohol"
"411","94","100% Halal"
"412","94","Area parkir"
"413","95","Wifi"
"414","95","100% Halal"
"415","95","Bisa reservasi"
"416","95","Area parkir"
"417","96","Wifi"
"418","96","100% Halal"
"419","96","Ruang VIP"
"420","96","Bisa reservasi"
"421","96","Area parkir"
"422","97","100% Halal"
"423","97","Area parkir"
"424","98","100% Halal"
"425","98","Bisa reservasi"
"426","98","Area parkir"
"427","99","100% Halal"
"428","99","Area parkir"
"429","100","100% Halal"
"430","101","Wifi"
"431","101","Area merokok"
"432","101","Area outdoor"
"433","101","100% Halal"
"434","101","Bisa reservasi"
"435","101","Area parkir"
"436","102","100% Halal"
"437","102","Area parkir"
"438","103","Area merokok"
"439","103","100% Halal"
"440","103","Area parkir"
"441","104","Area merokok"
"442","104","100% Halal"
"443","104","Area parkir"
"444","105","100% Halal"
"445","105","Area parkir"
"446","106","Bisa reservasi"
"447","106","Area parkir"
"448","106","Alkohol"
"449","107","Wifi"
"450","107","Area merokok"
"451","107","Area outdoor"
"452","107","100% Halal"
"453","107","Bisa reservasi"
"454","107","Area parkir"
"455","108","Wifi"
"456","108","100% Halal"
"457","108","Area parkir"
"458","109","Wifi"
"459","109","Area merokok"
"460","109","Area outdoor"
"461","109","100% Halal"
