"id","restaurant_id","method"
"1","1","Tunai"
"2","1","Debet"
"3","1","Go-pay"
"4","1","Ovo"
"5","1","Dana"
"6","2","Tunai"
"7","2","Debet"
"8","2","Go-pay"
"9","2","Ovo"
"10","2","Dana"
"11","3","Tunai"
"12","3","Debet"
"13","3","Go-pay"
"14","3","Ovo"
"15","3","Dana"
"16","4","Tunai"
"17","5","Tunai"
"18","6","Tunai"
"19","6","Debet"
"20","6","QRIS"
"21","7","Tunai"
"22","7","Debet"
"23","7","Go-pay"
"24","7","Ovo"
"25","7","Dana"
"26","8","Tunai"
"27","8","Visa"
"28","8","Master"
"29","8","Debet"
"30","8","Go-pay"
"31","8","Ovo"
"32","8","Dana"
"33","9","Tunai"
"34","9","Visa"
"35","9","Master"
"36","9","Debet"
"37","10","Tunai"
"38","10","Visa"
"39","10","Master"
"40","10","Debet"
"41","10","Go-pay"
"42","10","Ovo"
"43","10","Dana"
"44","11","Tunai"
"45","11","Visa"
"46","11","Master"
"47","11","Debet"
"48","12","Tunai"
"49","12","Visa"
"50","12","Master"
"51","12","Debet"
"52","13","Tunai"
"53","13","Visa"
"54","13","Master"
"55","13","Debet"
"56","14","Tunai"
"57","14","Visa"
"58","14","Master"
"59","14","Debet"
"60","14","Go-pay"
"61","14","Ovo"
"62","14","Dana"
"63","15","Tunai"
"64","15","Debet"
"65","16","Tunai"
"66","16","Visa"
"67","16","Master"
"68","16","Debet"
"69","16","Go-pay"
"70","16","Ovo"
"71","16","Dana"
"72","17","Tunai"
"73","17","Debet"
"74","17","Go-pay"
"75","17","Ovo"
"76","17","Dana"
"77","18","Tunai"
"78","18","Visa"
"79","18","Master"
"80","18","Debet"
"81","19","Tunai"
"82","19","Visa"
"83","19","Master"
"84","19","Debet"
"85","20","Tunai"
"86","20","Visa"
"87","20","Master"
"88","20","Debet"
"89","21","Tunai"
"90","21","Visa"
"91","21","Master"
"92","21","Debet"
"93","22","Tunai"
"94","22","Debet"
"95","22","Go-pay"
"96","22","Ovo"
"97","22","Dana"
"98","23","Tunai"
"99","23","Visa"
"100","23","Master"
"101","23","Debet"
"102","24","Tunai"
"103","24","Debet"
"104","24","Go-pay"
"105","24","Ovo"
"106","24","Dana"
"107","25","Tunai"
"108","25","Visa"
"109","25","Master"
"110","25","Debet"
"111","25","Go-pay"
"112","25","Ovo"
"113","25","Dana"
"114","26","Tunai"
"115","26","Debet"
"116","26","Go-pay"
"117","26","Ovo"
"118","27","Tunai"
"119","27","Visa"
"120","27","Master"
"121","27","Debet"
"122","27","Go-pay"
"123","27","Ovo"
"124","27","Dana"
"125","28","Tunai"
"126","28","Visa"
"127","28","Master"
"128","28","Debet"
"129","29","Tunai"
"130","29","Visa"
"131","29","Master"
"132","29","Debet"
"133","30","Tunai"
"134","31","Tunai"
"135","31","Visa"
"136","31","Master"
"137","31","Debet"
"138","31","Go-pay"
"139","31","Ovo"
"140","31","Dana"
"141","32","Tunai"
"142","32","Visa"
"143","32","Master"
"144","32","Debet"
"145","32","Go-pay"
"146","32","Ovo"
"147","32","Dana"
"148","33","Tunai"
"149","33","Debet"
"150","33","Go-pay"
"151","33","Ovo"
"152","33","Dana"
"153","34","Hanya Non-Tunai: Visa"
"154","34","Master"
"155","34","Debet"
"156","34","Go-pay"
"157","34","Ovo"
"158","34","Dana"
"159","35","Tunai"
"160","35","Visa"
"161","35","Master"
"162","35","Debet"
"163","36","Tunai"
"164","36","Debet"
"165","36","Go-pay"
"166","36","Ovo"
"167","36","Dana"
"168","37","Tunai"
"169","37","Go-pay"
"170","37","Ovo"
"171","37","Dana"
"172","38","Tunai"
"173","38","Visa"
"174","38","Master"
"175","38","Debet"
"176","39","Tunai"
"177","39","Debet"
"178","39","Go-pay"
"179","39","Ovo"
"180","39","Dana"
"181","40","Tunai"
"182","41","Tunai"
"183","42","Tunai"
"184","42","Debet"
"185","43","Tunai"
"186","44","Tunai"
"187","44","Debet"
"188","44","Go-pay"
"189","44","Dana"
"190","45","Tunai"
"191","45","Visa"
"192","45","Master"
"193","45","Debet"
"194","45","Go-pay"
"195","45","Ovo"
"196","45","Dana"
"197","46","Tunai"
"198","46","Debet"
"199","46","Go-pay"
"200","46","Ovo"
"201","46","Dana"
"202","47","Tunai"
"203","47","Go-pay"
"204","47","Ovo"
"205","47","Dana"
"206","48","Tunai"
"207","48","Visa"
"208","48","Master"
"209","48","Debet"
"210","49","Tunai"
"211","49","Visa"
"212","49","Master"
"213","49","Debet"
"214","49","Go-pay"
"215","49","Ovo"
"216","49","Dana"
"217","50","Tunai"
"218","50","Debet"
"219","50","Go-pay"
"220","50","Ovo"
"221","51","Tunai"
"222","51","Debet"
"223","51","Go-pay"
"224","51","Ovo"
"225","51","Dana"
"226","52","Tunai"
"227","52","Debet"
"228","53","Tunai"
"229","54","Tunai"
"230","55","Tunai"
"231","56","Tunai"
"232","56","Debet"
"233","56","Go-pay"
"234","56","Ovo"
"235","56","Dana"
"236","56","QRIS"
"237","57","Tunai"
"238","57","Visa"
"239","57","Master"
"240","57","Debet"
"241","58","Tunai"
"242","58","Visa"
"243","58","Master"
"244","58","Debet"
"245","59","Tunai"
"246","59","Debet"
"247","60","Tunai"
"248","60","Visa"
"249","60","Master"
"250","60","Debet"
"251","61","Hanya Non-Tunai: Visa"
"252","61","Master"
"253","61","Debet"
"254","61","Go-pay"
"255","61","Ovo"
"256","61","Dana"
"257","62","Tunai"
"258","62","Debet"
"259","62","Go-pay"
"260","62","Ovo"
"261","62","Dana"
"262","63","Tunai"
"263","63","Visa"
"264","63","Master"
"265","63","Debet"
"266","64","Tunai"
"267","64","Visa"
"268","64","Master"
"269","64","Debet"
"270","65","Tunai"
"271","66","Tunai"
"272","66","Visa"
"273","66","Master"
"274","66","Debet"
"275","66","Go-pay"
"276","66","Ovo"
"277","66","Dana"
"278","67","Tunai"
"279","67","Debet"
"280","68","Tunai"
"281","68","Visa"
"282","68","Master"
"283","68","Debet"
"284","68","Go-pay"
"285","68","Ovo"
"286","68","Dana"
"287","69","Tunai"
"288","69","Visa"
"289","69","Master"
"290","69","Debet"
"291","69","Go-pay"
"292","69","Ovo"
"293","69","Dana"
"294","70","Tunai"
"295","70","Visa"
"296","70","Master"
"297","70","Debet"
"298","71","Tunai"
"299","71","Visa"
"300","71","Master"
"301","71","Debet"
"302","72","Tunai"
"303","73","Tunai"
"304","73","Visa"
"305","73","Master"
"306","73","Debet"
"307","73","Go-pay"
"308","73","Ovo"
"309","73","Dana"
"310","74","Tunai"
"311","74","Debet"
"312","75","Tunai"
"313","76","Tunai"
"314","76","Visa"
"315","76","Master"
"316","76","Debet"
"317","77","Tunai"
"318","77","Debet"
"319","77","Ovo"
"320","78","Tunai"
"321","78","Debet"
"322","79","Tunai"
"323","79","Debet"
"324","80","Tunai"
"325","81","Tunai"
"326","81","Visa"
"327","81","Master"
"328","81","Debet"
"329","82","Tunai"
"330","82","Visa"
"331","82","Master"
"332","82","Debet"
"333","83","Tunai"
"334","83","Visa"
"335","83","Master"
"336","83","Debet"
"337","83","Go-pay"
"338","83","Ovo"
"339","83","Dana"
"340","84","Tunai"
"341","84","Visa"
"342","84","Master"
"343","84","Debet"
"344","85","Tunai"
"345","85","Go-pay"
"346","85","Ovo"
"347","85","Dana"
"348","86","Tunai"
"349","86","Visa"
"350","86","Master"
"351","86","Debet"
"352","86","Go-pay"
"353","86","Ovo"
"354","87","Tunai"
"355","88","Tunai"
"356","89","Tunai"
"357","89","Visa"
"358","89","Master"
"359","89","Debet"
"360","89","Go-pay"
"361","89","Ovo"
"362","90","Hanya Non-Tunai: Visa"
"363","90","Master"
"364","90","Debet"
"365","90","Go-pay"
"366","90","Ovo"
"367","91","Tunai"
"368","91","Visa"
"369","91","Master"
"370","91","Debet"
"371","91","QRIS"
"372","92","Tunai"
"373","92","Debet"
"374","92","QRIS"
"375","93","Tunai"
"376","93","Visa"
"377","93","Master"
"378","93","Debet"
"379","94","Tunai"
"380","94","Debet"
"381","94","Go-pay"
"382","94","Ovo"
"383","95","Tunai"
"384","95","Visa"
"385","95","Master"
"386","95","Debet"
"387","96","Tunai"
"388","96","Visa"
"389","96","Master"
"390","96","Debet"
"391","96","Ovo"
"392","96","Dana"
